Part Number,Part Name,Quantity,Sourcing Link,Cost,Notes
1,PCB,1,https://jlcpcb.com,$37.82,
2,M3 Nut,6,https://www.aliexpress.us/item/2255800416538696.html,$1.18,
3,M3x8mm BHCS,6,https://www.aliexpress.us/item/3256804345288240.html,$1.48,
4,M3x6+6 Standoff,6,https://www.aliexpress.us/item/3256805275813321.html,$3.03,
5,Acrylic Sheet,1,https://a.co/d/0dpcT7Jb,$8.66,
